In time 0:	247 flows created	247 flows accepted	247 group accepted	0 flows refused	0 flows deleted	6890 in switches	
In time 1:	249 flows created	249 flows accepted	496 group accepted	0 flows refused	0 flows deleted	13902 in switches	
In time 2:	248 flows created	248 flows accepted	744 group accepted	0 flows refused	0 flows deleted	20814 in switches	
In time 3:	246 flows created	246 flows accepted	990 group accepted	0 flows refused	0 flows deleted	27713 in switches	
In time 4:	245 flows created	245 flows accepted	1235 group accepted	0 flows refused	0 flows deleted	34613 in switches	
In time 5:	248 flows created	248 flows accepted	1483 group accepted	0 flows refused	0 flows deleted	41637 in switches	
In time 6:	251 flows created	251 flows accepted	1734 group accepted	0 flows refused	0 flows deleted	48797 in switches	
In time 7:	250 flows created	250 flows accepted	1984 group accepted	0 flows refused	0 flows deleted	55927 in switches	
In time 8:	248 flows created	31 flows accepted	2015 group accepted	217 flows refused	0 flows deleted	56751 in switches	
In time 9:	245 flows created	2 flows accepted	2017 group accepted	243 flows refused	0 flows deleted	56780 in switches	
In time 10:	249 flows created	2 flows accepted	2019 group accepted	247 flows refused	0 flows deleted	56808 in switches	
In time 11:	244 flows created	3 flows accepted	2022 group accepted	241 flows refused	0 flows deleted	56856 in switches	
In time 12:	247 flows created	3 flows accepted	2025 group accepted	244 flows refused	0 flows deleted	56905 in switches	
In time 13:	248 flows created	4 flows accepted	2029 group accepted	244 flows refused	0 flows deleted	56954 in switches	
In time 14:	248 flows created	3 flows accepted	2032 group accepted	245 flows refused	0 flows deleted	57006 in switches	
In time 15:	251 flows created	3 flows accepted	2035 group accepted	248 flows refused	0 flows deleted	57042 in switches	
In time 16:	249 flows created	3 flows accepted	2038 group accepted	246 flows refused	0 flows deleted	57088 in switches	
In time 17:	248 flows created	3 flows accepted	2041 group accepted	245 flows refused	0 flows deleted	57136 in switches	
In time 18:	243 flows created	1 flows accepted	2042 group accepted	242 flows refused	0 flows deleted	57148 in switches	
In time 19:	247 flows created	1 flows accepted	2043 group accepted	246 flows refused	0 flows deleted	57159 in switches	
In time 20:	244 flows created	3 flows accepted	2046 group accepted	241 flows refused	0 flows deleted	57207 in switches	
In time 21:	250 flows created	1 flows accepted	2047 group accepted	249 flows refused	0 flows deleted	57221 in switches	
In time 22:	248 flows created	0 flows accepted	2047 group accepted	248 flows refused	0 flows deleted	57221 in switches	
In time 23:	250 flows created	2 flows accepted	2049 group accepted	248 flows refused	0 flows deleted	57246 in switches	
In time 24:	248 flows created	5 flows accepted	2054 group accepted	243 flows refused	0 flows deleted	57331 in switches	
In time 25:	250 flows created	0 flows accepted	2054 group accepted	250 flows refused	0 flows deleted	57331 in switches	
In time 26:	249 flows created	3 flows accepted	2057 group accepted	246 flows refused	0 flows deleted	57388 in switches	
In time 27:	246 flows created	3 flows accepted	2060 group accepted	243 flows refused	0 flows deleted	57422 in switches	
In time 28:	247 flows created	4 flows accepted	2064 group accepted	243 flows refused	0 flows deleted	57500 in switches	
In time 29:	247 flows created	4 flows accepted	2068 group accepted	243 flows refused	0 flows deleted	57557 in switches	
In time 30:	246 flows created	2 flows accepted	2070 group accepted	244 flows refused	0 flows deleted	57589 in switches	
In time 31:	245 flows created	2 flows accepted	2072 group accepted	243 flows refused	0 flows deleted	57616 in switches	
In time 32:	247 flows created	1 flows accepted	2073 group accepted	246 flows refused	0 flows deleted	57627 in switches	
In time 33:	243 flows created	2 flows accepted	2075 group accepted	241 flows refused	0 flows deleted	57649 in switches	
In time 34:	246 flows created	0 flows accepted	2075 group accepted	246 flows refused	0 flows deleted	57649 in switches	
In time 35:	246 flows created	3 flows accepted	2078 group accepted	243 flows refused	0 flows deleted	57699 in switches	
In time 36:	247 flows created	1 flows accepted	2079 group accepted	246 flows refused	0 flows deleted	57721 in switches	
In time 37:	250 flows created	2 flows accepted	2081 group accepted	248 flows refused	0 flows deleted	57750 in switches	
In time 38:	250 flows created	1 flows accepted	2082 group accepted	249 flows refused	0 flows deleted	57758 in switches	
In time 39:	246 flows created	3 flows accepted	2085 group accepted	243 flows refused	0 flows deleted	57794 in switches	
In time 40:	245 flows created	2 flows accepted	2087 group accepted	243 flows refused	0 flows deleted	57827 in switches	
In time 41:	247 flows created	2 flows accepted	2089 group accepted	245 flows refused	0 flows deleted	57859 in switches	
In time 42:	246 flows created	0 flows accepted	2089 group accepted	246 flows refused	0 flows deleted	57859 in switches	
In time 43:	248 flows created	1 flows accepted	2090 group accepted	247 flows refused	0 flows deleted	57875 in switches	
In time 44:	245 flows created	3 flows accepted	2093 group accepted	242 flows refused	0 flows deleted	57920 in switches	
In time 45:	247 flows created	2 flows accepted	2095 group accepted	245 flows refused	0 flows deleted	57947 in switches	
In time 46:	245 flows created	0 flows accepted	2095 group accepted	245 flows refused	0 flows deleted	57947 in switches	
In time 47:	242 flows created	0 flows accepted	2095 group accepted	242 flows refused	0 flows deleted	57947 in switches	
In time 48:	245 flows created	3 flows accepted	2098 group accepted	242 flows refused	0 flows deleted	58007 in switches	
In time 49:	243 flows created	1 flows accepted	2099 group accepted	242 flows refused	0 flows deleted	58019 in switches	
In time 50:	250 flows created	0 flows accepted	2099 group accepted	250 flows refused	0 flows deleted	58019 in switches	
