In time 0:	243 flows created	243 flows accepted	243 group accepted	0 flows refused	0 flows deleted	6918 in switches	
In time 1:	248 flows created	248 flows accepted	491 group accepted	0 flows refused	0 flows deleted	13889 in switches	
In time 2:	252 flows created	252 flows accepted	743 group accepted	0 flows refused	0 flows deleted	20931 in switches	
In time 3:	247 flows created	247 flows accepted	990 group accepted	0 flows refused	0 flows deleted	27808 in switches	
In time 4:	244 flows created	244 flows accepted	1234 group accepted	0 flows refused	0 flows deleted	34706 in switches	
In time 5:	249 flows created	249 flows accepted	1483 group accepted	0 flows refused	0 flows deleted	41750 in switches	
In time 6:	251 flows created	251 flows accepted	1734 group accepted	0 flows refused	0 flows deleted	48792 in switches	
In time 7:	250 flows created	250 flows accepted	1984 group accepted	0 flows refused	0 flows deleted	55801 in switches	
In time 8:	251 flows created	40 flows accepted	2024 group accepted	211 flows refused	0 flows deleted	56856 in switches	
In time 9:	247 flows created	2 flows accepted	2026 group accepted	245 flows refused	0 flows deleted	56886 in switches	
In time 10:	246 flows created	5 flows accepted	2031 group accepted	241 flows refused	0 flows deleted	56949 in switches	
In time 11:	243 flows created	2 flows accepted	2033 group accepted	241 flows refused	0 flows deleted	56990 in switches	
In time 12:	244 flows created	3 flows accepted	2036 group accepted	241 flows refused	0 flows deleted	57038 in switches	
In time 13:	249 flows created	2 flows accepted	2038 group accepted	247 flows refused	0 flows deleted	57071 in switches	
In time 14:	247 flows created	3 flows accepted	2041 group accepted	244 flows refused	0 flows deleted	57108 in switches	
In time 15:	249 flows created	1 flows accepted	2042 group accepted	248 flows refused	0 flows deleted	57115 in switches	
In time 16:	246 flows created	1 flows accepted	2043 group accepted	245 flows refused	0 flows deleted	57140 in switches	
In time 17:	249 flows created	3 flows accepted	2046 group accepted	246 flows refused	0 flows deleted	57189 in switches	
In time 18:	245 flows created	1 flows accepted	2047 group accepted	244 flows refused	0 flows deleted	57204 in switches	
In time 19:	247 flows created	4 flows accepted	2051 group accepted	243 flows refused	0 flows deleted	57278 in switches	
In time 20:	248 flows created	3 flows accepted	2054 group accepted	245 flows refused	0 flows deleted	57332 in switches	
In time 21:	248 flows created	5 flows accepted	2059 group accepted	243 flows refused	0 flows deleted	57404 in switches	
In time 22:	246 flows created	4 flows accepted	2063 group accepted	242 flows refused	0 flows deleted	57472 in switches	
In time 23:	251 flows created	2 flows accepted	2065 group accepted	249 flows refused	0 flows deleted	57513 in switches	
In time 24:	247 flows created	4 flows accepted	2069 group accepted	243 flows refused	0 flows deleted	57565 in switches	
In time 25:	238 flows created	0 flows accepted	2069 group accepted	238 flows refused	0 flows deleted	57565 in switches	
In time 26:	246 flows created	6 flows accepted	2075 group accepted	240 flows refused	0 flows deleted	57669 in switches	
