In time 0:	243 flows created	243 flows accepted	243 group accepted	0 flows refused	0 flows deleted	7325 in switches	
In time 1:	244 flows created	244 flows accepted	487 group accepted	0 flows refused	0 flows deleted	14875 in switches	
In time 2:	247 flows created	247 flows accepted	734 group accepted	0 flows refused	0 flows deleted	22528 in switches	
In time 3:	248 flows created	248 flows accepted	982 group accepted	0 flows refused	0 flows deleted	30021 in switches	
In time 4:	247 flows created	247 flows accepted	1229 group accepted	0 flows refused	0 flows deleted	37571 in switches	
In time 5:	249 flows created	249 flows accepted	1478 group accepted	0 flows refused	0 flows deleted	45132 in switches	
In time 6:	249 flows created	249 flows accepted	1727 group accepted	0 flows refused	0 flows deleted	52696 in switches	
In time 7:	248 flows created	248 flows accepted	1975 group accepted	0 flows refused	0 flows deleted	60165 in switches	
In time 8:	244 flows created	43 flows accepted	2018 group accepted	201 flows refused	0 flows deleted	61485 in switches	
In time 9:	250 flows created	6 flows accepted	2024 group accepted	244 flows refused	0 flows deleted	61592 in switches	
In time 10:	247 flows created	4 flows accepted	2028 group accepted	243 flows refused	0 flows deleted	61654 in switches	
In time 11:	246 flows created	3 flows accepted	2031 group accepted	243 flows refused	0 flows deleted	61693 in switches	
In time 12:	246 flows created	3 flows accepted	2034 group accepted	243 flows refused	0 flows deleted	61759 in switches	
In time 13:	245 flows created	3 flows accepted	2037 group accepted	242 flows refused	0 flows deleted	61826 in switches	
In time 14:	247 flows created	2 flows accepted	2039 group accepted	245 flows refused	0 flows deleted	61853 in switches	
In time 15:	246 flows created	1 flows accepted	2040 group accepted	245 flows refused	0 flows deleted	61865 in switches	
In time 16:	245 flows created	2 flows accepted	2042 group accepted	243 flows refused	0 flows deleted	61907 in switches	
In time 17:	247 flows created	2 flows accepted	2044 group accepted	245 flows refused	0 flows deleted	61929 in switches	
In time 18:	242 flows created	2 flows accepted	2046 group accepted	240 flows refused	0 flows deleted	61960 in switches	
In time 19:	246 flows created	0 flows accepted	2046 group accepted	246 flows refused	0 flows deleted	61960 in switches	
In time 20:	247 flows created	3 flows accepted	2049 group accepted	244 flows refused	0 flows deleted	62013 in switches	
In time 21:	245 flows created	2 flows accepted	2051 group accepted	243 flows refused	0 flows deleted	62043 in switches	
In time 22:	245 flows created	2 flows accepted	2053 group accepted	243 flows refused	0 flows deleted	62088 in switches	
In time 23:	246 flows created	1 flows accepted	2054 group accepted	245 flows refused	0 flows deleted	62109 in switches	
In time 24:	247 flows created	4 flows accepted	2058 group accepted	243 flows refused	0 flows deleted	62168 in switches	
In time 25:	247 flows created	1 flows accepted	2059 group accepted	246 flows refused	0 flows deleted	62183 in switches	
In time 26:	253 flows created	1 flows accepted	2060 group accepted	252 flows refused	0 flows deleted	62198 in switches	
In time 27:	245 flows created	2 flows accepted	2062 group accepted	243 flows refused	0 flows deleted	62237 in switches	
In time 0:	250 flows created	250 flows accepted	250 group accepted	0 flows refused	0 flows deleted	7615 in switches	
In time 28:	249 flows created	3 flows accepted	2065 group accepted	246 flows refused	0 flows deleted	62299 in switches	
In time 29:	250 flows created	2 flows accepted	2067 group accepted	248 flows refused	0 flows deleted	62319 in switches	
In time 30:	248 flows created	3 flows accepted	2070 group accepted	245 flows refused	0 flows deleted	62378 in switches	
In time 31:	250 flows created	6 flows accepted	2076 group accepted	244 flows refused	0 flows deleted	62478 in switches	
In time 32:	252 flows created	3 flows accepted	2079 group accepted	249 flows refused	0 flows deleted	62545 in switches	
In time 33:	245 flows created	6 flows accepted	2085 group accepted	239 flows refused	0 flows deleted	62640 in switches	
In time 34:	252 flows created	1 flows accepted	2086 group accepted	251 flows refused	0 flows deleted	62653 in switches	
In time 35:	251 flows created	4 flows accepted	2090 group accepted	247 flows refused	0 flows deleted	62734 in switches	
In time 36:	249 flows created	1 flows accepted	2091 group accepted	248 flows refused	0 flows deleted	62756 in switches	
In time 37:	246 flows created	3 flows accepted	2094 group accepted	243 flows refused	0 flows deleted	62787 in switches	
In time 38:	247 flows created	3 flows accepted	2097 group accepted	244 flows refused	0 flows deleted	62836 in switches	
In time 39:	245 flows created	2 flows accepted	2099 group accepted	243 flows refused	0 flows deleted	62861 in switches	
In time 40:	247 flows created	3 flows accepted	2102 group accepted	244 flows refused	0 flows deleted	62902 in switches	
In time 41:	246 flows created	2 flows accepted	2104 group accepted	244 flows refused	0 flows deleted	62932 in switches	
In time 42:	243 flows created	2 flows accepted	2106 group accepted	241 flows refused	0 flows deleted	62976 in switches	
In time 43:	245 flows created	0 flows accepted	2106 group accepted	245 flows refused	0 flows deleted	62976 in switches	
In time 44:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 45:	245 flows created	0 flows accepted	2106 group accepted	245 flows refused	0 flows deleted	62976 in switches	
In time 46:	245 flows created	0 flows accepted	2106 group accepted	245 flows refused	0 flows deleted	62976 in switches	
In time 47:	245 flows created	0 flows accepted	2106 group accepted	245 flows refused	0 flows deleted	62976 in switches	
In time 48:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 49:	249 flows created	0 flows accepted	2106 group accepted	249 flows refused	0 flows deleted	62976 in switches	
In time 50:	250 flows created	0 flows accepted	2106 group accepted	250 flows refused	0 flows deleted	62976 in switches	
In time 51:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 52:	243 flows created	0 flows accepted	2106 group accepted	243 flows refused	0 flows deleted	62976 in switches	
In time 53:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 54:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 55:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 56:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 57:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 58:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 59:	252 flows created	0 flows accepted	2106 group accepted	252 flows refused	0 flows deleted	62976 in switches	
In time 60:	243 flows created	0 flows accepted	2106 group accepted	243 flows refused	0 flows deleted	62976 in switches	
In time 61:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 62:	249 flows created	0 flows accepted	2106 group accepted	249 flows refused	0 flows deleted	62976 in switches	
In time 63:	250 flows created	0 flows accepted	2106 group accepted	250 flows refused	0 flows deleted	62976 in switches	
In time 64:	242 flows created	0 flows accepted	2106 group accepted	242 flows refused	0 flows deleted	62976 in switches	
In time 65:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 66:	242 flows created	0 flows accepted	2106 group accepted	242 flows refused	0 flows deleted	62976 in switches	
In time 67:	244 flows created	0 flows accepted	2106 group accepted	244 flows refused	0 flows deleted	62976 in switches	
In time 68:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 69:	250 flows created	0 flows accepted	2106 group accepted	250 flows refused	0 flows deleted	62976 in switches	
In time 70:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 71:	243 flows created	0 flows accepted	2106 group accepted	243 flows refused	0 flows deleted	62976 in switches	
In time 72:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 73:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 74:	240 flows created	0 flows accepted	2106 group accepted	240 flows refused	0 flows deleted	62976 in switches	
In time 75:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 76:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 77:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 78:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 79:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 80:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 81:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 82:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 83:	250 flows created	0 flows accepted	2106 group accepted	250 flows refused	0 flows deleted	62976 in switches	
In time 84:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 85:	245 flows created	0 flows accepted	2106 group accepted	245 flows refused	0 flows deleted	62976 in switches	
In time 86:	244 flows created	0 flows accepted	2106 group accepted	244 flows refused	0 flows deleted	62976 in switches	
In time 87:	250 flows created	0 flows accepted	2106 group accepted	250 flows refused	0 flows deleted	62976 in switches	
In time 88:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 89:	250 flows created	0 flows accepted	2106 group accepted	250 flows refused	0 flows deleted	62976 in switches	
In time 90:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 91:	245 flows created	0 flows accepted	2106 group accepted	245 flows refused	0 flows deleted	62976 in switches	
In time 92:	244 flows created	0 flows accepted	2106 group accepted	244 flows refused	0 flows deleted	62976 in switches	
In time 93:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 94:	239 flows created	0 flows accepted	2106 group accepted	239 flows refused	0 flows deleted	62976 in switches	
In time 95:	250 flows created	0 flows accepted	2106 group accepted	250 flows refused	0 flows deleted	62976 in switches	
In time 96:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 97:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 98:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 99:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 100:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 101:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 102:	245 flows created	0 flows accepted	2106 group accepted	245 flows refused	0 flows deleted	62976 in switches	
In time 103:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 104:	249 flows created	0 flows accepted	2106 group accepted	249 flows refused	0 flows deleted	62976 in switches	
In time 105:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 106:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 107:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 108:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 109:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 110:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 111:	244 flows created	0 flows accepted	2106 group accepted	244 flows refused	0 flows deleted	62976 in switches	
In time 112:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 113:	250 flows created	0 flows accepted	2106 group accepted	250 flows refused	0 flows deleted	62976 in switches	
In time 114:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 115:	247 flows created	0 flows accepted	2106 group accepted	247 flows refused	0 flows deleted	62976 in switches	
In time 116:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 117:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 118:	249 flows created	0 flows accepted	2106 group accepted	249 flows refused	0 flows deleted	62976 in switches	
In time 119:	242 flows created	0 flows accepted	2106 group accepted	242 flows refused	0 flows deleted	62976 in switches	
In time 120:	250 flows created	0 flows accepted	2106 group accepted	250 flows refused	0 flows deleted	62976 in switches	
In time 121:	251 flows created	0 flows accepted	2106 group accepted	251 flows refused	0 flows deleted	62976 in switches	
In time 122:	251 flows created	0 flows accepted	2106 group accepted	251 flows refused	0 flows deleted	62976 in switches	
In time 123:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 124:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 125:	246 flows created	0 flows accepted	2106 group accepted	246 flows refused	0 flows deleted	62976 in switches	
In time 126:	248 flows created	0 flows accepted	2106 group accepted	248 flows refused	0 flows deleted	62976 in switches	
In time 127:	250 flows created	0 flows accepted	2106 group accepted	250 flows refused	0 flows deleted	62976 in switches	
In time 128:	249 flows created	0 flows accepted	2106 group accepted	249 flows refused	0 flows deleted	62976 in switches	
