In time 0:	1232 flows created	1232 flows accepted	0 flows refused	0 flows deleted	20850 in switches	
In time 1:	1230 flows created	907 flows accepted	323 flows refused	0 flows deleted	36351 in switches	
In time 2:	1237 flows created	83 flows accepted	1154 flows refused	0 flows deleted	37181 in switches	
In time 3:	1226 flows created	73 flows accepted	1153 flows refused	0 flows deleted	37866 in switches	
In time 4:	1231 flows created	71 flows accepted	1160 flows refused	0 flows deleted	38549 in switches	
In time 5:	1228 flows created	85 flows accepted	1143 flows refused	0 flows deleted	39340 in switches	
In time 6:	1233 flows created	63 flows accepted	1170 flows refused	0 flows deleted	39872 in switches	
In time 7:	1237 flows created	73 flows accepted	1164 flows refused	0 flows deleted	40516 in switches	
In time 8:	1235 flows created	76 flows accepted	1159 flows refused	0 flows deleted	41274 in switches	
In time 9:	1223 flows created	75 flows accepted	1148 flows refused	0 flows deleted	42011 in switches	
In time 10:	1232 flows created	84 flows accepted	1148 flows refused	0 flows deleted	42811 in switches	
In time 11:	1236 flows created	43 flows accepted	1193 flows refused	0 flows deleted	43148 in switches	
In time 12:	1230 flows created	18 flows accepted	1212 flows refused	0 flows deleted	43275 in switches	
In time 13:	1239 flows created	16 flows accepted	1223 flows refused	0 flows deleted	43376 in switches	
In time 14:	1231 flows created	17 flows accepted	1214 flows refused	0 flows deleted	43474 in switches	
In time 15:	1238 flows created	14 flows accepted	1224 flows refused	0 flows deleted	43548 in switches	
In time 16:	1231 flows created	15 flows accepted	1216 flows refused	0 flows deleted	43629 in switches	
In time 17:	1227 flows created	10 flows accepted	1217 flows refused	0 flows deleted	43669 in switches	
In time 18:	1242 flows created	17 flows accepted	1225 flows refused	0 flows deleted	43755 in switches	
In time 19:	1228 flows created	7 flows accepted	1221 flows refused	0 flows deleted	43775 in switches	
In time 20:	1238 flows created	10 flows accepted	1228 flows refused	0 flows deleted	43834 in switches	
In time 21:	1240 flows created	19 flows accepted	1221 flows refused	0 flows deleted	43920 in switches	
In time 22:	1233 flows created	18 flows accepted	1215 flows refused	0 flows deleted	44004 in switches	
In time 23:	1225 flows created	14 flows accepted	1211 flows refused	0 flows deleted	44073 in switches	
In time 24:	1228 flows created	16 flows accepted	1212 flows refused	0 flows deleted	44158 in switches	
In time 25:	1235 flows created	18 flows accepted	1217 flows refused	0 flows deleted	44233 in switches	
In time 26:	1232 flows created	10 flows accepted	1222 flows refused	0 flows deleted	44282 in switches	
In time 27:	1230 flows created	20 flows accepted	1210 flows refused	0 flows deleted	44367 in switches	
In time 28:	1229 flows created	13 flows accepted	1216 flows refused	0 flows deleted	44438 in switches	
In time 29:	1223 flows created	11 flows accepted	1212 flows refused	0 flows deleted	44493 in switches	
In time 30:	1240 flows created	17 flows accepted	1223 flows refused	0 flows deleted	44564 in switches	
In time 31:	1237 flows created	19 flows accepted	1218 flows refused	0 flows deleted	44658 in switches	
In time 32:	1229 flows created	12 flows accepted	1217 flows refused	0 flows deleted	44719 in switches	
In time 33:	1229 flows created	18 flows accepted	1211 flows refused	0 flows deleted	44790 in switches	
In time 34:	1222 flows created	14 flows accepted	1208 flows refused	0 flows deleted	44854 in switches	
In time 35:	1232 flows created	17 flows accepted	1215 flows refused	0 flows deleted	44935 in switches	
In time 36:	1231 flows created	15 flows accepted	1216 flows refused	0 flows deleted	44990 in switches	
In time 37:	1235 flows created	15 flows accepted	1220 flows refused	0 flows deleted	45057 in switches	
In time 38:	1240 flows created	8 flows accepted	1232 flows refused	0 flows deleted	45085 in switches	
In time 39:	1234 flows created	18 flows accepted	1216 flows refused	0 flows deleted	45165 in switches	
In time 40:	1234 flows created	13 flows accepted	1221 flows refused	0 flows deleted	45246 in switches	
In time 41:	1233 flows created	7 flows accepted	1226 flows refused	0 flows deleted	45273 in switches	
In time 42:	1230 flows created	16 flows accepted	1214 flows refused	0 flows deleted	45342 in switches	
In time 43:	1231 flows created	16 flows accepted	1215 flows refused	0 flows deleted	45416 in switches	
In time 44:	1225 flows created	11 flows accepted	1214 flows refused	0 flows deleted	45468 in switches	
In time 45:	1227 flows created	13 flows accepted	1214 flows refused	0 flows deleted	45528 in switches	
In time 46:	1233 flows created	12 flows accepted	1221 flows refused	0 flows deleted	45588 in switches	
In time 47:	1233 flows created	21 flows accepted	1212 flows refused	0 flows deleted	45673 in switches	
In time 48:	1230 flows created	12 flows accepted	1218 flows refused	0 flows deleted	45735 in switches	
In time 49:	1243 flows created	9 flows accepted	1234 flows refused	0 flows deleted	45777 in switches	
