In time 0:	1231 flows created	1231 flows accepted	0 flows refused	0 flows deleted	21353 in switches	
In time 1:	1234 flows created	874 flows accepted	360 flows refused	0 flows deleted	36285 in switches	
In time 2:	1220 flows created	95 flows accepted	1125 flows refused	0 flows deleted	37264 in switches	
In time 3:	1247 flows created	82 flows accepted	1165 flows refused	0 flows deleted	38132 in switches	
In time 4:	1225 flows created	65 flows accepted	1160 flows refused	0 flows deleted	38768 in switches	
In time 5:	1230 flows created	73 flows accepted	1157 flows refused	0 flows deleted	39479 in switches	
In time 6:	1228 flows created	75 flows accepted	1153 flows refused	0 flows deleted	40142 in switches	
In time 7:	1227 flows created	60 flows accepted	1167 flows refused	0 flows deleted	40771 in switches	
In time 8:	1234 flows created	78 flows accepted	1156 flows refused	0 flows deleted	41496 in switches	
In time 9:	1241 flows created	62 flows accepted	1179 flows refused	0 flows deleted	42148 in switches	
In time 10:	1217 flows created	35 flows accepted	1182 flows refused	0 flows deleted	42508 in switches	
In time 11:	1246 flows created	15 flows accepted	1231 flows refused	0 flows deleted	42622 in switches	
In time 12:	1232 flows created	19 flows accepted	1213 flows refused	0 flows deleted	42766 in switches	
In time 13:	1236 flows created	23 flows accepted	1213 flows refused	0 flows deleted	42923 in switches	
In time 14:	1233 flows created	22 flows accepted	1211 flows refused	0 flows deleted	43044 in switches	
In time 15:	1243 flows created	18 flows accepted	1225 flows refused	0 flows deleted	43116 in switches	
In time 16:	1225 flows created	12 flows accepted	1213 flows refused	0 flows deleted	43176 in switches	
In time 17:	1234 flows created	10 flows accepted	1224 flows refused	0 flows deleted	43237 in switches	
In time 18:	1224 flows created	15 flows accepted	1209 flows refused	0 flows deleted	43300 in switches	
In time 19:	1230 flows created	12 flows accepted	1218 flows refused	0 flows deleted	43370 in switches	
In time 20:	1233 flows created	11 flows accepted	1222 flows refused	0 flows deleted	43456 in switches	
In time 21:	1229 flows created	10 flows accepted	1219 flows refused	0 flows deleted	43496 in switches	
In time 22:	1227 flows created	9 flows accepted	1218 flows refused	0 flows deleted	43520 in switches	
In time 23:	1238 flows created	17 flows accepted	1221 flows refused	0 flows deleted	43598 in switches	
In time 24:	1237 flows created	17 flows accepted	1220 flows refused	0 flows deleted	43676 in switches	
In time 25:	1245 flows created	7 flows accepted	1238 flows refused	0 flows deleted	43708 in switches	
In time 26:	1231 flows created	11 flows accepted	1220 flows refused	0 flows deleted	43759 in switches	
In time 27:	1234 flows created	13 flows accepted	1221 flows refused	0 flows deleted	43838 in switches	
In time 28:	1234 flows created	17 flows accepted	1217 flows refused	0 flows deleted	43912 in switches	
In time 29:	1230 flows created	13 flows accepted	1217 flows refused	0 flows deleted	43987 in switches	
In time 30:	1231 flows created	13 flows accepted	1218 flows refused	0 flows deleted	44045 in switches	
In time 31:	1231 flows created	9 flows accepted	1222 flows refused	0 flows deleted	44102 in switches	
In time 32:	1237 flows created	9 flows accepted	1228 flows refused	0 flows deleted	44133 in switches	
In time 33:	1235 flows created	16 flows accepted	1219 flows refused	0 flows deleted	44205 in switches	
In time 34:	1238 flows created	19 flows accepted	1219 flows refused	0 flows deleted	44285 in switches	
In time 35:	1230 flows created	12 flows accepted	1218 flows refused	0 flows deleted	44332 in switches	
In time 36:	1228 flows created	15 flows accepted	1213 flows refused	0 flows deleted	44387 in switches	
In time 37:	1227 flows created	13 flows accepted	1214 flows refused	0 flows deleted	44448 in switches	
In time 38:	1241 flows created	10 flows accepted	1231 flows refused	0 flows deleted	44480 in switches	
In time 39:	1229 flows created	9 flows accepted	1220 flows refused	0 flows deleted	44527 in switches	
In time 40:	1232 flows created	7 flows accepted	1225 flows refused	0 flows deleted	44563 in switches	
In time 41:	1234 flows created	12 flows accepted	1222 flows refused	0 flows deleted	44620 in switches	
