In time 0:	1236 flows created	1236 flows accepted	0 flows refused	0 flows deleted	23139 in switches	
In time 1:	1240 flows created	900 flows accepted	340 flows refused	0 flows deleted	40030 in switches	
In time 2:	1226 flows created	68 flows accepted	1158 flows refused	0 flows deleted	40814 in switches	
In time 3:	1240 flows created	66 flows accepted	1174 flows refused	0 flows deleted	41612 in switches	
In time 4:	1245 flows created	72 flows accepted	1173 flows refused	0 flows deleted	42408 in switches	
In time 5:	1235 flows created	50 flows accepted	1185 flows refused	0 flows deleted	43000 in switches	
In time 6:	1227 flows created	72 flows accepted	1155 flows refused	0 flows deleted	43812 in switches	
In time 7:	1226 flows created	64 flows accepted	1162 flows refused	0 flows deleted	44520 in switches	
In time 8:	1229 flows created	58 flows accepted	1171 flows refused	0 flows deleted	45168 in switches	
In time 9:	1226 flows created	66 flows accepted	1160 flows refused	0 flows deleted	45887 in switches	
In time 10:	1230 flows created	16 flows accepted	1214 flows refused	0 flows deleted	46037 in switches	
In time 11:	1228 flows created	25 flows accepted	1203 flows refused	0 flows deleted	46250 in switches	
In time 12:	1233 flows created	14 flows accepted	1219 flows refused	0 flows deleted	46382 in switches	
In time 13:	1241 flows created	16 flows accepted	1225 flows refused	0 flows deleted	46506 in switches	
In time 14:	1232 flows created	11 flows accepted	1221 flows refused	0 flows deleted	46601 in switches	
In time 15:	1234 flows created	14 flows accepted	1220 flows refused	0 flows deleted	46707 in switches	
In time 16:	1224 flows created	8 flows accepted	1216 flows refused	0 flows deleted	46769 in switches	
In time 17:	1226 flows created	2 flows accepted	1224 flows refused	0 flows deleted	46779 in switches	
In time 18:	1230 flows created	14 flows accepted	1216 flows refused	0 flows deleted	46922 in switches	
In time 19:	1228 flows created	1 flows accepted	1227 flows refused	0 flows deleted	46932 in switches	
In time 20:	1234 flows created	5 flows accepted	1229 flows refused	0 flows deleted	46955 in switches	
In time 21:	1229 flows created	7 flows accepted	1222 flows refused	0 flows deleted	47013 in switches	
In time 22:	1231 flows created	4 flows accepted	1227 flows refused	0 flows deleted	47034 in switches	
In time 23:	1239 flows created	5 flows accepted	1234 flows refused	0 flows deleted	47070 in switches	
In time 24:	1244 flows created	7 flows accepted	1237 flows refused	0 flows deleted	47109 in switches	
In time 25:	1232 flows created	8 flows accepted	1224 flows refused	0 flows deleted	47166 in switches	
