In time 0:	1300 flows created	1300 flows accepted	0 flows refused	0 flows deleted	15074 in switches	
In time 1:	1309 flows created	942 flows accepted	367 flows refused	0 flows deleted	25977 in switches	
In time 2:	1229 flows created	108 flows accepted	1121 flows refused	0 flows deleted	27171 in switches	
In time 3:	1306 flows created	118 flows accepted	1188 flows refused	0 flows deleted	28489 in switches	
In time 4:	1300 flows created	132 flows accepted	1168 flows refused	0 flows deleted	29990 in switches	
In time 5:	1293 flows created	120 flows accepted	1173 flows refused	0 flows deleted	31356 in switches	
In time 6:	1290 flows created	119 flows accepted	1171 flows refused	0 flows deleted	32677 in switches	
In time 7:	1280 flows created	32 flows accepted	1248 flows refused	0 flows deleted	33023 in switches	
In time 8:	1290 flows created	13 flows accepted	1277 flows refused	0 flows deleted	33144 in switches	
In time 9:	1230 flows created	17 flows accepted	1213 flows refused	0 flows deleted	33293 in switches	
In time 10:	1279 flows created	12 flows accepted	1267 flows refused	0 flows deleted	33395 in switches	
In time 11:	1229 flows created	0 flows accepted	1229 flows refused	0 flows deleted	33395 in switches	
In time 12:	1224 flows created	0 flows accepted	1224 flows refused	0 flows deleted	33395 in switches	
In time 13:	1254 flows created	0 flows accepted	1254 flows refused	0 flows deleted	33395 in switches	
In time 14:	1238 flows created	0 flows accepted	1238 flows refused	0 flows deleted	33395 in switches	
In time 15:	1229 flows created	0 flows accepted	1229 flows refused	0 flows deleted	33395 in switches	
In time 16:	1268 flows created	0 flows accepted	1268 flows refused	0 flows deleted	33395 in switches	
In time 17:	1281 flows created	0 flows accepted	1281 flows refused	0 flows deleted	33395 in switches	
In time 18:	1248 flows created	0 flows accepted	1248 flows refused	0 flows deleted	33395 in switches	
In time 19:	1282 flows created	0 flows accepted	1282 flows refused	0 flows deleted	33395 in switches	
In time 20:	1243 flows created	0 flows accepted	1243 flows refused	0 flows deleted	33395 in switches	
In time 21:	1292 flows created	0 flows accepted	1292 flows refused	0 flows deleted	33395 in switches	
In time 22:	1262 flows created	0 flows accepted	1262 flows refused	0 flows deleted	33395 in switches	
In time 23:	1279 flows created	0 flows accepted	1279 flows refused	0 flows deleted	33395 in switches	
In time 24:	1309 flows created	0 flows accepted	1309 flows refused	0 flows deleted	33395 in switches	
In time 25:	1221 flows created	0 flows accepted	1221 flows refused	0 flows deleted	33395 in switches	
In time 26:	1298 flows created	0 flows accepted	1298 flows refused	0 flows deleted	33395 in switches	
In time 27:	1216 flows created	0 flows accepted	1216 flows refused	0 flows deleted	33395 in switches	
In time 28:	1263 flows created	0 flows accepted	1263 flows refused	0 flows deleted	33395 in switches	
In time 29:	1245 flows created	0 flows accepted	1245 flows refused	0 flows deleted	33395 in switches	
In time 30:	1341 flows created	0 flows accepted	1341 flows refused	0 flows deleted	33395 in switches	
In time 31:	1297 flows created	0 flows accepted	1297 flows refused	0 flows deleted	33395 in switches	
In time 32:	1263 flows created	0 flows accepted	1263 flows refused	0 flows deleted	33395 in switches	
In time 33:	1269 flows created	0 flows accepted	1269 flows refused	0 flows deleted	33395 in switches	
In time 34:	1244 flows created	0 flows accepted	1244 flows refused	0 flows deleted	33395 in switches	
In time 35:	1242 flows created	0 flows accepted	1242 flows refused	0 flows deleted	33395 in switches	
In time 36:	1348 flows created	0 flows accepted	1348 flows refused	0 flows deleted	33395 in switches	
In time 37:	1242 flows created	0 flows accepted	1242 flows refused	0 flows deleted	33395 in switches	
In time 38:	1239 flows created	0 flows accepted	1239 flows refused	0 flows deleted	33395 in switches	
In time 39:	1257 flows created	0 flows accepted	1257 flows refused	0 flows deleted	33395 in switches	
In time 40:	1269 flows created	0 flows accepted	1269 flows refused	0 flows deleted	33395 in switches	
In time 41:	1260 flows created	0 flows accepted	1260 flows refused	0 flows deleted	33395 in switches	
In time 42:	1248 flows created	0 flows accepted	1248 flows refused	0 flows deleted	33395 in switches	
In time 43:	1235 flows created	0 flows accepted	1235 flows refused	0 flows deleted	33395 in switches	
In time 44:	1224 flows created	0 flows accepted	1224 flows refused	0 flows deleted	33395 in switches	
In time 45:	1248 flows created	0 flows accepted	1248 flows refused	0 flows deleted	33395 in switches	
In time 46:	1255 flows created	0 flows accepted	1255 flows refused	0 flows deleted	33395 in switches	
In time 47:	1253 flows created	0 flows accepted	1253 flows refused	0 flows deleted	33395 in switches	
In time 48:	1249 flows created	0 flows accepted	1249 flows refused	0 flows deleted	33395 in switches	
In time 49:	1281 flows created	0 flows accepted	1281 flows refused	0 flows deleted	33395 in switches	
In time 50:	1234 flows created	0 flows accepted	1234 flows refused	0 flows deleted	33395 in switches	
In time 51:	1266 flows created	0 flows accepted	1266 flows refused	0 flows deleted	33395 in switches	
In time 52:	1239 flows created	0 flows accepted	1239 flows refused	0 flows deleted	33395 in switches	
In time 53:	1211 flows created	0 flows accepted	1211 flows refused	0 flows deleted	33395 in switches	
